Source,Target,Type,Id,Label,timeset,Weight
1470,4,Undirected,65,,,1
1511,662,Undirected,156,,,1
714,152,Undirected,163,,,1
464,152,Undirected,164,,,1
782,237,Undirected,241,,,1
21,748,Undirected,331,,,1
835,507,Undirected,409,,,1
21,784,Undirected,468,,,1
983,872,Undirected,567,,,1
983,1072,Undirected,577,,,1
1470,921,Undirected,582,,,1
559,791,Undirected,611,,,1
782,160,Undirected,728,,,1
835,1292,Undirected,840,,,1
1511,1046,Undirected,878,,,1
559,1295,Undirected,918,,,1
851,918,Undirected,942,,,1
441,1626,Undirected,953,,,1
21,180,Undirected,1050,,,1
212,464,Undirected,1057,,,1
728,167,Undirected,1098,,,1
1582,167,Undirected,1103,,,1
983,854,Undirected,1122,,,1
21,179,Undirected,1181,,,1
21,20,Undirected,1249,,,1
21,1533,Undirected,1273,,,1
1470,857,Undirected,1415,,,1
835,1093,Undirected,1477,,,1
1470,583,Undirected,1519,,,1
1470,846,Undirected,1585,,,1
1406,1276,Undirected,1632,,,1
248,1276,Undirected,1642,,,1
724,1276,Undirected,1643,,,1
846,1276,Undirected,1644,,,1
1052,1276,Undirected,1650,,,1
983,882,Undirected,1661,,,1
559,1192,Undirected,1713,,,1
1470,658,Undirected,1782,,,1
21,169,Undirected,1858,,,1
1470,868,Undirected,1991,,,1
1470,1068,Undirected,1997,,,1
987,1017,Undirected,2030,,,1
782,1766,Undirected,2050,,,1
748,1506,Undirected,2158,,,1
1642,1460,Undirected,2379,,,1
1766,1460,Undirected,2381,,,1
1612,1460,Undirected,2382,,,1
987,1460,Undirected,2387,,,1
222,310,Undirected,2423,,,1
237,1825,Undirected,2447,,,1
758,1825,Undirected,2449,,,1
1766,1825,Undirected,2450,,,1
364,1825,Undirected,2453,,,1
782,461,Undirected,2527,,,1
197,186,Undirected,2555,,,1
21,35,Undirected,2585,,,1
138,1368,Undirected,2649,,,1
1470,1005,Undirected,2722,,,1
1470,905,Undirected,2736,,,1
596,1755,Undirected,2758,,,1
21,30,Undirected,2768,,,1
222,101,Undirected,2779,,,1
441,812,Undirected,2847,,,1
1470,679,Undirected,3029,,,1
596,617,Undirected,3081,,,1
1470,551,Undirected,3171,,,1
1470,980,Undirected,3233,,,1
1470,1041,Undirected,3258,,,1
1511,593,Undirected,3267,,,1
1511,1550,Undirected,3275,,,1
