Source,Target,Type,Id,Label,timeset,Weight
2833,4,Undirected,39049,,,1
1589,7,Undirected,25048,,,1
1589,20,Undirected,27552,,,1
171,21,Undirected,36322,,,1
2833,40,Undirected,15111,,,1
1589,43,Undirected,22084,,,1
2125,45,Undirected,43039,,,1
48,2408,Undirected,18463,,,1
575,49,Undirected,22554,,,1
1210,63,Undirected,14035,,,1
1493,76,Undirected,6665,,,1
1476,76,Undirected,6664,,,1
1358,76,Undirected,6663,,,1
1214,76,Undirected,6661,,,1
1483,76,Undirected,6660,,,1
2815,76,Undirected,6659,,,1
362,76,Undirected,6658,,,1
1037,76,Undirected,6657,,,1
1661,76,Undirected,6656,,,1
1589,79,Undirected,46238,,,1
1589,95,Undirected,7548,,,1
103,1935,Undirected,42925,,,1
1830,109,Undirected,41731,,,1
1259,109,Undirected,41730,,,1
856,109,Undirected,41728,,,1
531,109,Undirected,41727,,,1
1417,109,Undirected,41726,,,1
2789,109,Undirected,41725,,,1
834,109,Undirected,41724,,,1
851,109,Undirected,41723,,,1
171,118,Undirected,40920,,,1
3065,158,Undirected,17,,,1
160,1935,Undirected,42933,,,1
1108,162,Undirected,26402,,,1
673,163,Undirected,26498,,,1
2095,163,Undirected,26468,,,1
1589,163,Undirected,26461,,,1
1589,170,Undirected,38466,,,1
171,3015,Undirected,46667,,,1
171,2598,Undirected,43991,,,1
171,1734,Undirected,40940,,,1
171,2966,Undirected,40811,,,1
171,2004,Undirected,40175,,,1
171,2696,Undirected,40130,,,1
171,1626,Undirected,39657,,,1
171,1560,Undirected,38901,,,1
171,1967,Undirected,38705,,,1
171,191,Undirected,37868,,,1
171,1042,Undirected,37315,,,1
171,1237,Undirected,35301,,,1
171,1982,Undirected,34499,,,1
171,671,Undirected,33271,,,1
171,1792,Undirected,31877,,,1
171,340,Undirected,31761,,,1
171,539,Undirected,31700,,,1
171,1962,Undirected,23440,,,1
171,2100,Undirected,23188,,,1
171,2671,Undirected,23122,,,1
171,2236,Undirected,22691,,,1
171,844,Undirected,20655,,,1
171,298,Undirected,20175,,,1
171,1457,Undirected,19073,,,1
171,246,Undirected,17901,,,1
171,2982,Undirected,16659,,,1
171,1214,Undirected,16393,,,1
171,3063,Undirected,16268,,,1
171,1639,Undirected,15649,,,1
171,2247,Undirected,15200,,,1
171,1592,Undirected,14811,,,1
171,1574,Undirected,14560,,,1
171,1246,Undirected,13213,,,1
171,2677,Undirected,10997,,,1
171,307,Undirected,10790,,,1
171,2750,Undirected,10445,,,1
171,2180,Undirected,10132,,,1
171,2860,Undirected,9790,,,1
171,1446,Undirected,9533,,,1
171,1094,Undirected,8707,,,1
171,1276,Undirected,7528,,,1
171,2038,Undirected,7294,,,1
171,2186,Undirected,7155,,,1
171,2167,Undirected,5401,,,1
171,1641,Undirected,4321,,,1
171,1872,Undirected,4003,,,1
171,203,Undirected,2387,,,1
171,318,Undirected,799,,,1
173,1773,Undirected,40138,,,1
1589,177,Undirected,13281,,,1
2095,177,Undirected,13273,,,1
2095,199,Undirected,9266,,,1
1589,199,Undirected,9241,,,1
203,1935,Undirected,42914,,,1
1851,227,Undirected,25173,,,1
1589,227,Undirected,25160,,,1
1589,231,Undirected,14964,,,1
1618,241,Undirected,31459,,,1
1934,241,Undirected,31457,,,1
2095,251,Undirected,33739,,,1
1589,251,Undirected,33715,,,1
1210,253,Undirected,23773,,,1
2125,256,Undirected,9349,,,1
2095,266,Undirected,33902,,,1
1589,266,Undirected,33842,,,1
1589,285,Undirected,45306,,,1
548,298,Undirected,20183,,,1
1589,298,Undirected,20179,,,1
2125,305,Undirected,26806,,,1
1589,310,Undirected,9330,,,1
1589,325,Undirected,29159,,,1
2095,325,Undirected,29128,,,1
1589,328,Undirected,22665,,,1
330,519,Undirected,41241,,,1
330,2626,Undirected,8872,,,1
330,579,Undirected,2982,,,1
673,341,Undirected,13093,,,1
356,1233,Undirected,6851,,,1
1589,361,Undirected,11151,,,1
1934,361,Undirected,11139,,,1
1293,363,Undirected,970,,,1
575,366,Undirected,20191,,,1
1851,394,Undirected,14277,,,1
409,2341,Undirected,10095,,,1
1293,417,Undirected,3985,,,1
1589,423,Undirected,3838,,,1
464,1935,Undirected,42917,,,1
1589,470,Undirected,32985,,,1
1851,470,Undirected,32935,,,1
2095,470,Undirected,32906,,,1
1934,471,Undirected,343,,,1
1589,474,Undirected,20824,,,1
477,1233,Undirected,6853,,,1
1589,477,Undirected,26212,,,1
1851,477,Undirected,26200,,,1
2095,477,Undirected,26165,,,1
3071,482,Undirected,7640,,,1
673,483,Undirected,11577,,,1
1210,485,Undirected,11295,,,1
2095,487,Undirected,38800,,,1
1589,487,Undirected,38772,,,1
673,487,Undirected,38768,,,1
489,1935,Undirected,42911,,,1
1589,489,Undirected,18499,,,1
1210,489,Undirected,18498,,,1
1589,491,Undirected,6943,,,1
1589,495,Undirected,22443,,,1
2095,499,Undirected,45081,,,1
502,1935,Undirected,42931,,,1
1589,504,Undirected,28723,,,1
1851,504,Undirected,28667,,,1
2095,504,Undirected,28605,,,1
1589,508,Undirected,21421,,,1
673,511,Undirected,4291,,,1
1589,511,Undirected,4266,,,1
2095,511,Undirected,4209,,,1
1589,516,Undirected,32762,,,1
1934,526,Undirected,7698,,,1
1210,532,Undirected,29618,,,1
3071,539,Undirected,31701,,,1
1934,545,Undirected,22980,,,1
2095,552,Undirected,35929,,,1
1589,552,Undirected,35924,,,1
1210,552,Undirected,35874,,,1
575,555,Undirected,22397,,,1
2125,564,Undirected,39423,,,1
2095,568,Undirected,32185,,,1
3071,568,Undirected,32137,,,1
1589,568,Undirected,32122,,,1
575,2246,Undirected,46678,,,1
575,1916,Undirected,46054,,,1
575,1167,Undirected,45992,,,1
575,2874,Undirected,39685,,,1
575,1842,Undirected,32710,,,1
575,2196,Undirected,31273,,,1
575,1430,Undirected,30803,,,1
575,1412,Undirected,30460,,,1
575,852,Undirected,30355,,,1
575,2282,Undirected,30136,,,1
575,706,Undirected,29406,,,1
575,854,Undirected,25903,,,1
575,1371,Undirected,24604,,,1
575,1089,Undirected,24008,,,1
575,1163,Undirected,21479,,,1
575,1028,Undirected,21369,,,1
575,1575,Undirected,21097,,,1
575,1289,Undirected,20996,,,1
575,1805,Undirected,19011,,,1
575,1352,Undirected,18312,,,1
575,607,Undirected,18095,,,1
575,2285,Undirected,18065,,,1
575,1517,Undirected,16014,,,1
575,2311,Undirected,15974,,,1
575,992,Undirected,13853,,,1
575,698,Undirected,11422,,,1
575,785,Undirected,7444,,,1
575,1661,Undirected,4638,,,1
575,2509,Undirected,3669,,,1
575,1290,Undirected,3545,,,1
575,645,Undirected,3253,,,1
575,1387,Undirected,2426,,,1
575,1754,Undirected,690,,,1
575,2252,Undirected,584,,,1
1400,582,Undirected,419,,,1
586,1638,Undirected,41497,,,1
1851,588,Undirected,9882,,,1
1210,610,Undirected,37359,,,1
1589,638,Undirected,42245,,,1
673,644,Undirected,33601,,,1
655,1935,Undirected,42906,,,1
658,1935,Undirected,42927,,,1
1210,658,Undirected,5357,,,1
1400,669,Undirected,23539,,,1
671,1935,Undirected,42912,,,1
1589,671,Undirected,33247,,,1
1851,671,Undirected,33238,,,1
673,671,Undirected,33228,,,1
1851,672,Undirected,44746,,,1
673,2025,Undirected,45685,,,1
673,3081,Undirected,44947,,,1
673,1736,Undirected,44067,,,1
673,1843,Undirected,43628,,,1
673,760,Undirected,43180,,,1
673,720,Undirected,37830,,,1
673,2474,Undirected,37001,,,1
673,3054,Undirected,33312,,,1
673,1383,Undirected,32507,,,1
673,2815,Undirected,25949,,,1
673,893,Undirected,22459,,,1
673,2528,Undirected,20069,,,1
673,2687,Undirected,18435,,,1
673,2883,Undirected,18269,,,1
673,1263,Undirected,17726,,,1
673,2738,Undirected,17560,,,1
673,838,Undirected,17431,,,1
673,1295,Undirected,17204,,,1
673,1214,Undirected,16493,,,1
673,1389,Undirected,12984,,,1
673,2460,Undirected,8916,,,1
673,756,Undirected,8214,,,1
673,740,Undirected,8033,,,1
673,2962,Undirected,7835,,,1
673,2791,Undirected,6764,,,1
673,2733,Undirected,5674,,,1
673,928,Undirected,2762,,,1
677,686,Undirected,29804,,,1
677,1006,Undirected,23603,,,1
677,2824,Undirected,16882,,,1
1589,684,Undirected,31582,,,1
