Source,Target,Type,Id,Label,timeset,Weight
1877,1372,Undirected,1,,,1
1428,1691,Undirected,28,,,1
1428,2112,Undirected,49,,,1
3172,1657,Undirected,124,,,1
1331,281,Undirected,206,,,1
2194,722,Undirected,415,,,1
2271,3275,Undirected,466,,,1
640,3275,Undirected,486,,,1
3371,1299,Undirected,555,,,1
2157,1241,Undirected,707,,,1
2542,3603,Undirected,735,,,1
671,1059,Undirected,892,,,1
3320,1272,Undirected,1033,,,1
3172,1226,Undirected,1124,,,1
671,147,Undirected,1228,,,1
3172,525,Undirected,1374,,,1
1675,2710,Undirected,1385,,,1
447,3450,Undirected,1396,,,1
3320,438,Undirected,1582,,,1
37,3135,Undirected,1596,,,1
2271,2107,Undirected,1615,,,1
502,2976,Undirected,1778,,,1
3371,2976,Undirected,1794,,,1
640,2976,Undirected,1798,,,1
3682,2976,Undirected,1801,,,1
3528,686,Undirected,1920,,,1
640,1581,Undirected,1931,,,1
502,1581,Undirected,1963,,,1
3371,1581,Undirected,1965,,,1
1113,3074,Undirected,2107,,,1
1428,3102,Undirected,2235,,,1
3682,201,Undirected,2269,,,1
2157,609,Undirected,2315,,,1
1247,1822,Undirected,2512,,,1
3371,3359,Undirected,2542,,,1
3371,2948,Undirected,2698,,,1
1428,104,Undirected,2962,,,1
3724,1383,Undirected,3066,,,1
640,1383,Undirected,3067,,,1
1428,1235,Undirected,3072,,,1
1428,1624,Undirected,3249,,,1
1428,2751,Undirected,3291,,,1
3320,2221,Undirected,3333,,,1
1331,3101,Undirected,3584,,,1
671,688,Undirected,3608,,,1
1428,2649,Undirected,3678,,,1
263,1840,Undirected,3689,,,1
640,1846,Undirected,3738,,,1
2271,1846,Undirected,3740,,,1
1428,2010,Undirected,3816,,,1
3371,629,Undirected,3909,,,1
640,629,Undirected,3932,,,1
502,629,Undirected,3978,,,1
640,628,Undirected,4055,,,1
2542,2471,Undirected,4161,,,1
640,668,Undirected,4214,,,1
3371,50,Undirected,4250,,,1
1428,93,Undirected,4379,,,1
1428,2955,Undirected,4414,,,1
671,304,Undirected,4500,,,1
2271,1640,Undirected,4720,,,1
640,1640,Undirected,4745,,,1
502,1382,Undirected,4857,,,1
3371,1643,Undirected,4915,,,1
502,1643,Undirected,4921,,,1
640,1643,Undirected,4925,,,1
502,657,Undirected,5036,,,1
640,1647,Undirected,5060,,,1
3371,1647,Undirected,5065,,,1
2271,1647,Undirected,5076,,,1
2271,67,Undirected,5178,,,1
185,1967,Undirected,5197,,,1
183,1967,Undirected,5209,,,1
1255,1967,Undirected,5220,,,1
3504,1967,Undirected,5230,,,1
2271,3026,Undirected,5265,,,1
2271,2465,Undirected,5350,,,1
502,2465,Undirected,5360,,,1
640,2465,Undirected,5368,,,1
3371,2574,Undirected,5387,,,1
3438,2574,Undirected,5406,,,1
2016,2574,Undirected,5410,,,1
640,2574,Undirected,5418,,,1
502,2574,Undirected,5419,,,1
1428,2574,Undirected,5423,,,1
640,838,Undirected,5464,,,1
2271,838,Undirected,5480,,,1
502,838,Undirected,5493,,,1
2194,838,Undirected,5497,,,1
2271,1493,Undirected,5546,,,1
263,1493,Undirected,5638,,,1
2271,1662,Undirected,5746,,,1
640,1662,Undirected,5787,,,1
640,651,Undirected,5832,,,1
2194,683,Undirected,5881,,,1
3371,3530,Undirected,6083,,,1
640,3530,Undirected,6094,,,1
3071,1828,Undirected,6168,,,1
502,1828,Undirected,6179,,,1
903,1828,Undirected,6189,,,1
447,805,Undirected,6254,,,1
3371,1674,Undirected,6286,,,1
2194,1674,Undirected,6295,,,1
2460,1683,Undirected,6365,,,1
3158,1684,Undirected,6376,,,1
3620,1684,Undirected,6379,,,1
1428,665,Undirected,6480,,,1
1428,471,Undirected,6584,,,1
1428,3560,Undirected,6646,,,1
1428,1286,Undirected,6683,,,1
640,154,Undirected,6709,,,1
3371,1870,Undirected,6789,,,1
502,1870,Undirected,6807,,,1
640,1870,Undirected,6811,,,1
3341,636,Undirected,6824,,,1
1953,636,Undirected,6825,,,1
3084,636,Undirected,6830,,,1
2983,636,Undirected,6834,,,1
3300,636,Undirected,6838,,,1
3506,636,Undirected,6843,,,1
3794,636,Undirected,6844,,,1
2185,636,Undirected,6845,,,1
3266,636,Undirected,6850,,,1
3638,636,Undirected,6854,,,1
3781,636,Undirected,6855,,,1
174,636,Undirected,6863,,,1
1045,636,Undirected,6864,,,1
1428,2916,Undirected,6926,,,1
1428,3434,Undirected,6995,,,1
1428,2902,Undirected,7026,,,1
1428,431,Undirected,7226,,,1
3320,3630,Undirected,7312,,,1
3371,3226,Undirected,7402,,,1
2271,1449,Undirected,7625,,,1
3172,1245,Undirected,7911,,,1
1247,3108,Undirected,7929,,,1
2271,1515,Undirected,8018,,,1
3430,2707,Undirected,8039,,,1
447,3190,Undirected,8069,,,1
2658,3389,Undirected,8193,,,1
502,864,Undirected,8213,,,1
3371,1430,Undirected,8394,,,1
640,1430,Undirected,8399,,,1
502,1430,Undirected,8415,,,1
2016,1430,Undirected,8438,,,1
1428,1391,Undirected,8479,,,1
1735,2189,Undirected,8534,,,1
502,1069,Undirected,8554,,,1
671,3094,Undirected,8649,,,1
1428,1947,Undirected,8765,,,1
1207,312,Undirected,8778,,,1
2157,1197,Undirected,8884,,,1
1207,2585,Undirected,8983,,,1
2271,1065,Undirected,9088,,,1
3712,3321,Undirected,9192,,,1
2271,1604,Undirected,9221,,,1
1428,3584,Undirected,9275,,,1
2016,714,Undirected,9304,,,1
1428,934,Undirected,9331,,,1
263,177,Undirected,9491,,,1
2271,2001,Undirected,9512,,,1
640,2001,Undirected,9515,,,1
671,2502,Undirected,9649,,,1
2271,2502,Undirected,9652,,,1
502,3577,Undirected,9743,,,1
1428,2340,Undirected,9862,,,1
640,1783,Undirected,9945,,,1
2460,1633,Undirected,9985,,,1
2271,319,Undirected,9999,,,1
3712,3329,Undirected,10031,,,1
3172,1103,Undirected,10180,,,1
3438,2161,Undirected,10283,,,1
2194,2161,Undirected,10286,,,1
502,279,Undirected,10346,,,1
1428,279,Undirected,10348,,,1
502,1239,Undirected,10517,,,1
1428,418,Undirected,10537,,,1
3620,1441,Undirected,10583,,,1
502,172,Undirected,10631,,,1
1428,77,Undirected,10644,,,1
3724,1809,Undirected,10686,,,1
1428,1778,Undirected,10714,,,1
502,3848,Undirected,10794,,,1
3071,3848,Undirected,10795,,,1
2460,1393,Undirected,10849,,,1
3620,1553,Undirected,10867,,,1
2271,3240,Undirected,10941,,,1
3371,563,Undirected,10981,,,1
3528,1320,Undirected,10984,,,1
2016,678,Undirected,11043,,,1
2271,3623,Undirected,11106,,,1
3158,1466,Undirected,11332,,,1
1428,2214,Undirected,11342,,,1
3158,2332,Undirected,11356,,,1
640,1204,Undirected,11415,,,1
2271,2076,Undirected,11422,,,1
2194,1666,Undirected,11457,,,1
1207,1693,Undirected,11570,,,1
263,1186,Undirected,11728,,,1
1428,1744,Undirected,11814,,,1
1428,718,Undirected,11878,,,1
1428,1334,Undirected,11896,,,1
3620,1038,Undirected,12110,,,1
2271,3322,Undirected,12154,,,1
1428,3322,Undirected,12205,,,1
2157,848,Undirected,12402,,,1
2157,3903,Undirected,12453,,,1
1331,548,Undirected,12505,,,1
2460,2529,Undirected,12635,,,1
2271,270,Undirected,12693,,,1
1428,3607,Undirected,12845,,,1
502,400,Undirected,12870,,,1
1428,2050,Undirected,12909,,,1
3371,1230,Undirected,12998,,,1
3620,1230,Undirected,13004,,,1
3371,3274,Undirected,13017,,,1
2542,1185,Undirected,13041,,,1
1877,2748,Undirected,13297,,,1
502,2099,Undirected,13341,,,1
3620,822,Undirected,13384,,,1
2271,984,Undirected,13555,,,1
502,984,Undirected,13566,,,1
640,984,Undirected,13594,,,1
3712,1497,Undirected,13653,,,1
263,3184,Undirected,13787,,,1
2157,778,Undirected,13799,,,1
3371,2407,Undirected,13823,,,1
2194,211,Undirected,13827,,,1
2157,3405,Undirected,14001,,,1
2271,3634,Undirected,14068,,,1
640,648,Undirected,14273,,,1
3071,648,Undirected,14288,,,1
502,648,Undirected,14297,,,1
640,2798,Undirected,14363,,,1
2271,2798,Undirected,14369,,,1
1428,2787,Undirected,14420,,,1
502,2212,Undirected,14512,,,1
3371,2212,Undirected,14517,,,1
640,2212,Undirected,14541,,,1
3371,2538,Undirected,14583,,,1
37,2226,Undirected,14714,,,1
1877,2353,Undirected,14732,,,1
671,634,Undirected,14761,,,1
3712,436,Undirected,14774,,,1
2016,2198,Undirected,14878,,,1
502,2198,Undirected,14881,,,1
640,2198,Undirected,14904,,,1
1428,2855,Undirected,15187,,,1
1395,1242,Undirected,15225,,,1
3371,238,Undirected,15386,,,1
502,1311,Undirected,15404,,,1
2271,1678,Undirected,15467,,,1
671,316,Undirected,15559,,,1
1428,3838,Undirected,15593,,,1
671,3020,Undirected,15661,,,1
3371,450,Undirected,15715,,,1
3620,3711,Undirected,15939,,,1
2460,2440,Undirected,15975,,,1
1428,1757,Undirected,16124,,,1
2271,1764,Undirected,16206,,,1
3371,659,Undirected,16267,,,1
447,1620,Undirected,16327,,,1
2312,215,Undirected,16345,,,1
3493,215,Undirected,16346,,,1
1391,215,Undirected,16350,,,1
356,215,Undirected,16352,,,1
640,3851,Undirected,16356,,,1
3071,3851,Undirected,16367,,,1
502,3851,Undirected,16377,,,1
1428,223,Undirected,16432,,,1
2460,230,Undirected,16537,,,1
1428,2118,Undirected,16681,,,1
3724,3512,Undirected,16706,,,1
3620,2150,Undirected,16999,,,1
1247,2154,Undirected,17017,,,1
2271,2154,Undirected,17025,,,1
1331,2937,Undirected,17049,,,1
1207,1858,Undirected,17239,,,1
263,2178,Undirected,17292,,,1
1428,1056,Undirected,17389,,,1
640,1397,Undirected,17426,,,1
38,3422,Undirected,17439,,,1
1428,1876,Undirected,17479,,,1
1395,1731,Undirected,17612,,,1
2271,3248,Undirected,17631,,,1
1428,2209,Undirected,17736,,,1
3371,464,Undirected,17753,,,1
1428,2055,Undirected,17777,,,1
250,522,Undirected,17784,,,1
3371,3754,Undirected,17833,,,1
1428,654,Undirected,17868,,,1
1428,1437,Undirected,17895,,,1
3158,1606,Undirected,17950,,,1
2179,1934,Undirected,18025,,,1
648,1934,Undirected,18026,,,1
3823,1934,Undirected,18027,,,1
617,1934,Undirected,18028,,,1
1452,1934,Undirected,18029,,,1
2148,1934,Undirected,18030,,,1
397,1934,Undirected,18031,,,1
1343,1934,Undirected,18032,,,1
2406,1934,Undirected,18033,,,1
17,1934,Undirected,18034,,,1
3338,1934,Undirected,18035,,,1
385,1934,Undirected,18036,,,1
3426,1934,Undirected,18037,,,1
104,1934,Undirected,18038,,,1
2405,1934,Undirected,18039,,,1
11,1934,Undirected,18040,,,1
3281,1934,Undirected,18041,,,1
1497,1934,Undirected,18043,,,1
2819,1934,Undirected,18044,,,1
1428,3726,Undirected,18106,,,1
1428,2786,Undirected,18185,,,1
3371,2563,Undirected,18224,,,1
502,2563,Undirected,18227,,,1
640,2563,Undirected,18245,,,1
2460,3496,Undirected,18316,,,1
2271,782,Undirected,18465,,,1
3371,3338,Undirected,18490,,,1
640,3338,Undirected,18493,,,1
502,3338,Undirected,18502,,,1
3371,1668,Undirected,18699,,,1
2271,1668,Undirected,18701,,,1
2157,1687,Undirected,18958,,,1
1678,381,Undirected,18975,,,1
2072,381,Undirected,18976,,,1
3662,381,Undirected,18977,,,1
3504,381,Undirected,18978,,,1
241,381,Undirected,18979,,,1
2934,381,Undirected,18980,,,1
3715,381,Undirected,18981,,,1
1772,381,Undirected,18982,,,1
3284,381,Undirected,18983,,,1
3879,381,Undirected,18984,,,1
3703,381,Undirected,18985,,,1
187,381,Undirected,18986,,,1
2301,381,Undirected,18987,,,1
2157,3901,Undirected,19015,,,1
1675,3901,Undirected,19021,,,1
1428,1694,Undirected,19053,,,1
2271,541,Undirected,19150,,,1
1428,1866,Undirected,19233,,,1
640,2184,Undirected,19292,,,1
