cip_name,cip_category,combined_cip
Neurobiology and Neurosciences,Neuro/Biology,Neurosciences
Biology/Biological Sciences,Neuro/Biology,Biology
"Biochemistry, Biophysics and Molecular Biology",Neuro/Biology,Biology
Microbiological Sciences and Immunology,Neuro/Biology,Biology
Cell/Cellular Biology and Anatomical Sciences,Neuro/Biology,Biology
"Ecology, Evolution, Systematics, and Population Biology",Neuro/Biology,Biology
Molecular Medicine,Neuro/Biology,Biology
Psychology,Neuro/Biology,Psychology
Genetics,Neuro/Biology,Biotech. & Genetics
Biotechnology,Neuro/Biology,Biotech. & Genetics
"Biomathematics, Bioinformatics, and Computational Biology",Neuro/Biology,Biotech. & Genetics
Residency Programs,Health,Medical Specialty
Health Services/Allied Health/Health Sciences,Health,Health Sciences
Health and Physical Education/Fitness,Health,Health Sciences
Pharmacology and Toxicology,Health,Pathology & Pharmacology
"Physiology, Pathology and Related Sciences",Health,Pathology & Pharmacology
Computer and Information Sciences,Sci/Eng,Eng. & Informatics
Electrical and Computer Engineering,Sci/Eng,Eng. & Informatics
Biomedical/Medical Engineering,Sci/Eng,Eng. & Informatics
Mechanical Engineering,Sci/Eng,Eng. & Informatics
"Mechatronics, Robotics, and Automation Engineering",Sci/Eng,Eng. & Informatics
Engineering Physics,Sci/Eng,Chemistry & Physics & Math
Physics,Sci/Eng,Chemistry & Physics & Math
Chemistry,Sci/Eng,Chemistry & Physics & Math
Chemical Engineering,Sci/Eng,Chemistry & Physics & Math
Statistics,Sci/Eng,Chemistry & Physics & Math
Mathematics,Sci/Eng,Chemistry & Physics & Math
