"","XSA","XCIP"," XSACIP","XSA","XCIP","XSA&CIP"
"y","1.0317 *** (0.0007)","NA *** NA","NA *** (NA)","NA *** ((NA))","NA *** (((NA)))","1.0609 *** (0.00210)"
"$\bar{z_j}$","0.9975   (0.01185)","NA *** NA","NA *** (NA)","NA *** ((NA))","NA *** (((NA)))","1.3077 *** (0.03150)"
"ln k","0.8848 *** (0.0099)","NA *** NA","NA *** (NA)","NA *** ((NA))","NA *** ((()))","1.6387 *** (0.03610)"
"ln w","4.6549 *** (0.0788)","NA *** NA","NA *** (NA)","NA *** (())","NA *** (())","4.8956 *** (0.15910)"
"$N_R$","1.3243 *** (0.02405)","1 *** NA","1 *** ()","NA *** ()","NA *** (())","4.5694 *** (0.27500)"
"$N_{CIP}$","1.3073 *** (0.02305)","","","NA *** ()","",""
"$N_{SA}$",NA,"-2.9998 *** NA","","","NA *** ()",""
"$I_{2014+}$",NA,NA,NA,"1 * NA","1 *** (NA)","0.7163 *** (0.04290)"
"$I_{R_{NA}}$",NA,NA,NA,"-2.6141 *** NA","-2.7252 *** (NA)","0.3974 *** (0.02745)"
"$I_{R_{EU}}$",NA,NA,NA,"NA * NA","NA *** (NA)","0.3448 *** (0.02415)"
"$I_{R_{AA}}$",NA,NA,NA,"NA *** NA","NA *** (NA)","0.1914 *** (0.01465)"
"$I_{R_{NA}} \times I_{2014+}$",NA,NA,NA,"NA ** NA","NA   (NA)","1.0115   (0.07175)"
"$I_{R_{EU}} \times  I_{2014+}$",NA,NA,NA,"-65.743786   NA","-44.606262   (NA)","0.9381   (0.06915)"
"$I_{R_{AA}} \times  I_{2014+}$",NA,NA,NA,"0.0321867 *** NA","0.0203078 ** (NA)","0.9505   (0.08935)"
"$\textit{N}$","602599","602599","207281","602599","602599","207281"
"Pseudo $R^2$","0.0725262","0.194511","0.308123","0.0734646","0.204474","0.319105"
